Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
P60,Toast,7,NA,NA,NA,NA,6353.63720667,
P60,Carrots,4,NA,NA,NA,NA,10577.1012064,
P60,Chicken Wings,4,NA,NA,NA,NA,13857.811528,
P60,Ham,2,NA,NA,NA,NA,17734.7494166,
P60,Fried Chicken,8,NA,NA,NA,NA,23055.3694747,
P60,Potato Chips,6,NA,NA,NA,NA,26193.420871,
P60,Avocado,2,NA,NA,NA,NA,28409.4625675,
P60,Boiled Spinach,1,NA,NA,NA,NA,30364.4384307,
P60,Bagel,8,NA,NA,NA,NA,38054.2269452,
P60,Brussel Sprouts,1,NA,NA,NA,NA,39364.7926777,
P60,Sausage And Biscuit Sandwich,4,NA,NA,NA,NA,43734.806361,
P60,Green Beans,5,NA,NA,NA,NA,45786.3896962,
P60,Tomato Soup,3,NA,NA,NA,NA,49006.8273668,
P60,Jell-O,2,NA,NA,NA,NA,50770.1635264,
P60,Pizza,9,NA,NA,NA,NA,52704.2285509,
P60,Garlic Bread,9,NA,NA,NA,NA,53790.568487,
P60,Turkey Sub,6,NA,NA,NA,NA,56076.0584951,
P60,Oysters,1,NA,NA,NA,NA,57399.7065378,
P60,French Fries,7,NA,NA,NA,NA,60110.079785,
P60,Rigattoni With Marinara Sauce,7,NA,NA,NA,NA,62167.5989102,
P60,French Toast,8,NA,NA,NA,NA,65778.4088746,
P60,Taco,7,NA,NA,NA,NA,72935.7243574,
P60,Cheeseburger,7,NA,NA,NA,NA,75177.263233,
P60,Sushi,3,NA,NA,NA,NA,77505.1864084,
P60,Broccoli,2,NA,NA,NA,NA,80822.4351604,
P60,Pop Tart,5,NA,NA,NA,NA,83249.247225,
P60,Baked Potato,6,NA,NA,NA,NA,85707.6481936,
P60,Asparagus,4,NA,NA,NA,NA,87846.0803227,
P60,Croissant,2,NA,NA,NA,NA,91491.7736884,
P60,Oatmeal,1,NA,NA,NA,NA,92908.4930232,
P60,Ruben Sandwich,3,NA,NA,NA,NA,95176.4378705,
P60,Chocolate Chip Cookie,5,NA,NA,NA,NA,97168.7483922,
P60,Peas,4,NA,NA,NA,NA,98979.2738995,
P60,Popcorn,6,NA,NA,NA,NA,104191.741012,
P60,Veggie Sandwich,1,NA,NA,NA,NA,106891.76859,
P60,Steak,9,NA,NA,NA,NA,109157.802821,
P60,Fried Egg,3,NA,NA,NA,NA,112185.736028,
P60,Grilled Chicken Sandwich,6,NA,NA,NA,NA,114549.894703,
P60,Chicken Nuggets,5,NA,NA,NA,NA,118063.004657,
P60,Raspberry Shake,9,NA,NA,NA,NA,119893.056791,
P60,Waffles,8,NA,NA,NA,NA,121695.252527,
P60,Apple,7,NA,NA,NA,NA,124209.842042,
P60,Hot Dog,7,NA,NA,NA,NA,126069.809842,
P60,Glazed Donut,6,NA,NA,NA,NA,128000.298627,
P60,Bacon,3,NA,NA,NA,NA,130195.004719,
P60,Tater-Tots,7,NA,NA,NA,NA,132372.113342,
P60,Onion Rings,7,NA,NA,NA,NA,133983.972804,
P60,Mashed Potatoes,7,NA,NA,NA,NA,135777.701043,
P60,Saltine Crackers,7,NA,NA,NA,NA,138041.115501,
P60,Liver And Onions,1,NA,NA,NA,NA,140124.090421,
P60,Vegetable Salad,5,NA,NA,NA,NA,142893.295163,
P60,NA,NA,Liver And Onions,Onion Rings,D,d,593.566410229,
P60,NA,NA,Veggie Sandwich,Tater-Tots,D,c,411.832049822,
P60,NA,NA,Chicken Wings,Hot Dog,C,c,256.870157865,
P60,NA,NA,Carrots,Apple,C,d,222.347624939,
P60,NA,NA,Brussel Sprouts,Vegetable Salad,D,d,753.841676734,
P60,NA,NA,Boiled Spinach,Chicken Nuggets,D,c,393.971708573,
P60,NA,NA,Croissant,Rigattoni With Marinara Sauce,C,d,525.954886143,
P60,NA,NA,Broccoli,Pop Tart,C,c,388.379902473,
P60,NA,NA,Jell-O,Green Beans,D,c,481.195275867,
P60,NA,NA,Avocado,Glazed Donut,D,d,555.758980907,
P60,NA,NA,Grilled Chicken Sandwich,French Toast,C,c,608.729507885,
P60,NA,NA,Bacon,Popcorn,C,c,521.687368047,
P60,NA,NA,Fried Egg,Baked Potato,D,c,444.312199573,
P60,NA,NA,Turkey Sub,Raspberry Shake,D,c,366.373546553,
P60,NA,NA,Sushi,Potato Chips,C,c,1082.04063512,
P60,NA,NA,Tomato Soup,Saltine Crackers,D,c,908.344371826,
P60,NA,NA,Mashed Potatoes,Pizza,D,c,505.987602678,
P60,NA,NA,Liver And Onions,Asparagus,D,c,804.995942713,
P60,NA,NA,Sausage And Biscuit Sandwich,Tater-Tots,C,c,373.40419157,
P60,NA,NA,Oatmeal,Hot Dog,D,d,457.963291399,
P60,NA,NA,Oysters,Apple,D,d,494.193493707,
P60,NA,NA,Brussel Sprouts,Vegetable Salad,C,c,355.710379538,
P60,NA,NA,Boiled Spinach,Taco,C,d,462.260274902,
P60,Toast,8,NA,NA,NA,NA,1468.38212728,
P60,Carrots,4,NA,NA,NA,NA,3197.53212309,
P60,Chicken Wings,4,NA,NA,NA,NA,4528.9683035,
P60,Ham,2,NA,NA,NA,NA,6156.41331161,
P60,Fried Chicken,9,NA,NA,NA,NA,7397.37181803,
P60,Potato Chips,7,NA,NA,NA,NA,9103.09880082,
P60,Avocado,2,NA,NA,NA,NA,10253.3591393,
P60,Boiled Spinach,3,NA,NA,NA,NA,12060.8298452,
P60,Bagel,8,NA,NA,NA,NA,13985.4861345,
P60,Brussel Sprouts,1,NA,NA,NA,NA,15325.6970473,
P60,Sausage And Biscuit Sandwich,3,NA,NA,NA,NA,17947.1387268,
P60,Green Beans,3,NA,NA,NA,NA,19451.5633385,
P60,Tomato Soup,2,NA,NA,NA,NA,20713.0416876,
P60,Jell-O,2,NA,NA,NA,NA,22090.6332778,
P60,Pizza,9,NA,NA,NA,NA,23379.1688173,
P60,Garlic Bread,9,NA,NA,NA,NA,24252.1103357,
P60,Turkey Sub,8,NA,NA,NA,NA,26105.950655,
P60,Oysters,1,NA,NA,NA,NA,27163.4121737,
P60,French Fries,7,NA,NA,NA,NA,29422.8584028,
P60,Rigattoni With Marinara Sauce,8,NA,NA,NA,NA,30752.6484932,
P60,French Toast,8,NA,NA,NA,NA,32121.7252427,
P60,Taco,7,NA,NA,NA,NA,33404.7815405,
P60,Cheeseburger,7,NA,NA,NA,NA,35743.7952969,
P60,Sushi,3,NA,NA,NA,NA,37161.8220349,
P60,Broccoli,3,NA,NA,NA,NA,39011.8460873,
P60,Pop Tart,5,NA,NA,NA,NA,41616.36767,
P60,Baked Potato,7,NA,NA,NA,NA,43196.5028202,
P60,Asparagus,4,NA,NA,NA,NA,46003.8338138,
P60,Croissant,2,NA,NA,NA,NA,47347.697775,
P60,Oatmeal,1,NA,NA,NA,NA,48384.3467834,
P60,Ruben Sandwich,2,NA,NA,NA,NA,50243.6176767,
P60,Chocolate Chip Cookie,7,NA,NA,NA,NA,52467.079359,
P60,Peas,3,NA,NA,NA,NA,54136.4341096,
P60,Popcorn,6,NA,NA,NA,NA,55978.3124664,
P60,Veggie Sandwich,1,NA,NA,NA,NA,57289.9124679,
P60,Steak,8,NA,NA,NA,NA,58478.2384718,
P60,Fried Egg,2,NA,NA,NA,NA,60811.1048833,
P60,Grilled Chicken Sandwich,7,NA,NA,NA,NA,62510.0955441,
