Participant,Food Rated,Food Rating,Trial Food C,Trial Food D,Decision,Opponent Decision,RT,
P21,Toast,3,NA,NA,NA,NA,8800.3526579,
P21,Carrots,5,NA,NA,NA,NA,13825.3585261,
P21,Chicken Wings,1,NA,NA,NA,NA,16021.6991211,
P21,Ham,1,NA,NA,NA,NA,18409.8399896,
P21,Fried Chicken,1,NA,NA,NA,NA,19625.986967,
P21,Potato Chips,7,NA,NA,NA,NA,22072.0862933,
P21,Avocado,7,NA,NA,NA,NA,26352.4105849,
P21,Boiled Spinach,2,NA,NA,NA,NA,29692.600309,
P21,Bagel,5,NA,NA,NA,NA,33103.9652163,
P21,Brussel Sprouts,5,NA,NA,NA,NA,35133.5819243,
P21,Sausage And Biscuit Sandwich,1,NA,NA,NA,NA,37481.9262828,
P21,Green Beans,2,NA,NA,NA,NA,40465.920938,
P21,Tomato Soup,6,NA,NA,NA,NA,43520.4352537,
P21,Jell-O,1,NA,NA,NA,NA,45434.6472146,
P21,Pizza,9,NA,NA,NA,NA,48040.1136769,
P21,Garlic Bread,9,NA,NA,NA,NA,49895.4229627,
P21,Turkey Sub,1,NA,NA,NA,NA,51756.9335582,
P21,Oysters,1,NA,NA,NA,NA,52885.0147211,
P21,French Fries,9,NA,NA,NA,NA,55063.3175202,
P21,Rigattoni With Marinara Sauce,6,NA,NA,NA,NA,62461.860671,
P21,French Toast,1,NA,NA,NA,NA,64807.5945269,
P21,Taco,9,NA,NA,NA,NA,67199.8751196,
P21,Cheeseburger,1,NA,NA,NA,NA,68959.7274086,
P21,Sushi,1,NA,NA,NA,NA,71130.2920618,
P21,Broccoli,8,NA,NA,NA,NA,73360.5711787,
P21,Pop Tart,5,NA,NA,NA,NA,76333.4924686,
P21,Baked Potato,5,NA,NA,NA,NA,78614.7037021,
P21,Asparagus,5,NA,NA,NA,NA,80073.8439545,
P21,Croissant,6,NA,NA,NA,NA,82446.5197877,
P21,Oatmeal,3,NA,NA,NA,NA,84929.1088767,
P21,Ruben Sandwich,1,NA,NA,NA,NA,86992.6872816,
P21,Chocolate Chip Cookie,9,NA,NA,NA,NA,89239.8037273,
P21,Peas,3,NA,NA,NA,NA,93048.4328541,
P21,Popcorn,9,NA,NA,NA,NA,94910.0099951,
P21,Veggie Sandwich,9,NA,NA,NA,NA,96824.6255327,
P21,Steak,1,NA,NA,NA,NA,99205.2772215,
P21,Fried Egg,1,NA,NA,NA,NA,100512.5031,
P21,Grilled Chicken Sandwich,1,NA,NA,NA,NA,101279.510517,
P21,Chicken Nuggets,1,NA,NA,NA,NA,102237.744459,
P21,Raspberry Shake,6,NA,NA,NA,NA,107485.654154,
P21,Waffles,6,NA,NA,NA,NA,109310.130704,
P21,Apple,3,NA,NA,NA,NA,111953.907494,
P21,Hot Dog,1,NA,NA,NA,NA,113694.281824,
P21,Glazed Donut,9,NA,NA,NA,NA,115632.468695,
P21,Bacon,1,NA,NA,NA,NA,117812.14478,
P21,Tater-Tots,9,NA,NA,NA,NA,119387.194665,
P21,Onion Rings,9,NA,NA,NA,NA,120370.086519,
P21,Mashed Potatoes,9,NA,NA,NA,NA,121801.882211,
P21,Saltine Crackers,3,NA,NA,NA,NA,124264.010388,
P21,Liver And Onions,1,NA,NA,NA,NA,126257.415102,
P21,Vegetable Salad,9,NA,NA,NA,NA,128017.65607,
P21,NA,NA,Chicken Wings,Rigattoni With Marinara Sauce,C,c,1299.88700513,
P21,NA,NA,Green Beans,Tomato Soup,C,d,1072.3908795,
P21,NA,NA,Boiled Spinach,Avocado,C,d,528.946452746,
P21,NA,NA,Saltine Crackers,Potato Chips,D,c,836.547104428,
P21,NA,NA,Grilled Chicken Sandwich,Broccoli,C,c,665.678858172,
P21,NA,NA,Fried Egg,Peas,C,d,781.885461668,
P21,NA,NA,Oatmeal,Mashed Potatoes,D,c,1129.42365993,
P21,NA,NA,Toast,Onion Rings,C,c,540.186678259,
P21,NA,NA,Asparagus,Tater-Tots,D,c,4877.91355776,
P21,NA,NA,Baked Potato,Glazed Donut,C,d,5379.97266007,
P21,NA,NA,French Toast,Pop Tart,C,c,832.10047638,
P21,NA,NA,Brussel Sprouts,Popcorn,D,c,575.20151525,
